n,Egb,dx,dy,rx,ry,T,steps,f
0.0,0.962,4.52,1.52,4,6,300,61000,lammps_0.962_0.00_4.52_1.52_4_6_300_61000
0.44,0.962,0.27,1.65,4,4,400,284000,lammps_0.962_0.44_0.27_1.65_4_4_400_284000
0.96,0.963,0.64,1.91,3,4,900,0,lammps_0.963_0.96_0.64_1.91_3_4_900_0
0.82,0.963,4.71,0.79,4,5,500,19000,lammps_0.963_0.82_4.71_0.79_4_5_500_19000
0.54,0.963,2.54,2.8,1,14,500,176000,lammps_0.963_0.54_2.54_2.80_1_14_500_176000
0.5,0.963,0.84,2.02,2,10,800,2000,lammps_0.963_0.50_0.84_2.02_2_10_800_2000
0.48,0.963,7.22,0.31,2,12,500,143000,lammps_0.963_0.48_7.22_0.31_2_12_500_143000
0.45,0.963,2.17,2.99,1,10,500,86000,lammps_0.963_0.45_2.17_2.99_1_10_500_86000
0.44,0.963,2.73,3.24,2,9,1000,2000,lammps_0.963_0.44_2.73_3.24_2_9_1000_2000
0.43,0.963,0.87,1.01,1,14,400,222000,lammps_0.963_0.43_0.87_1.01_1_14_400_222000
0.97,0.963,2.6,2.02,3,6,500,54000,lammps_0.963_0.97_2.60_2.02_3_6_500_54000
0.41,0.963,1.5,2.17,2,14,700,5000,lammps_0.963_0.41_1.50_2.17_2_14_700_5000
0.05,0.963,1.25,0.33,2,5,700,58000,lammps_0.963_0.05_1.25_0.33_2_5_700_58000
0.06,0.963,2.56,2.25,4,2,700,0,lammps_0.963_0.06_2.56_2.25_4_2_700_0
0.32,0.963,6.01,0.38,1,14,400,178000,lammps_0.963_0.32_6.01_0.38_1_14_400_178000
0.42,0.963,2.96,1.66,2,12,300,16000,lammps_0.963_0.42_2.96_1.66_2_12_300_16000
0.35,0.963,5.35,0.31,1,13,300,11000,lammps_0.963_0.35_5.35_0.31_1_13_300_11000
0.38,0.963,2.93,1.43,1,12,500,14000,lammps_0.963_0.38_2.93_1.43_1_12_500_14000
0.4,0.963,2.03,3.56,1,10,700,77000,lammps_0.963_0.40_2.03_3.56_1_10_700_77000
0.33,0.963,3.03,1.97,1,15,600,197000,lammps_0.963_0.33_3.03_1.97_1_15_600_197000
0.45,0.964,3.73,0.81,2,10,700,119000,lammps_0.964_0.45_3.73_0.81_2_10_700_119000
0.55,0.964,1.55,2.96,1,11,400,2000,lammps_0.964_0.55_1.55_2.96_1_11_400_2000
0.54,0.964,3.42,1.52,2,13,500,27000,lammps_0.964_0.54_3.42_1.52_2_13_500_27000
0.53,0.964,5.75,1.53,2,9,500,2000,lammps_0.964_0.53_5.75_1.53_2_9_500_2000
0.5,0.964,0.37,0.15,2,7,300,0,lammps_0.964_0.50_0.37_0.15_2_7_300_0
0.48,0.964,1.39,0.31,2,11,400,52000,lammps_0.964_0.48_1.39_0.31_2_11_400_52000
0.47,0.964,3.16,1.74,1,15,300,38000,lammps_0.964_0.47_3.16_1.74_1_15_300_38000
