n,Egb
0.4,2.553
0.38,2.553
0.39,2.553
0.0,2.553
0.03,2.553
0.17,2.553
0.19,2.553
0.08,2.553
0.28,2.553
0.3,2.553
0.33,2.553
0.34,2.553
0.36,2.553
0.27,2.553
0.6,2.554
0.5,2.554
0.54,2.554
0.56,2.554
0.57,2.554
0.58,2.554
0.62,2.554
0.74,2.554
0.67,2.554
0.69,2.554
0.7,2.554
0.71,2.554
0.73,2.554
0.77,2.554
0.45,2.554
0.65,2.554
0.44,2.554
0.46,2.554
0.4,2.554
0.42,2.554
0.05,2.554
0.06,2.554
0.12,2.554
0.14,2.554
0.16,2.554
0.21,2.554
0.23,2.554
0.0,2.554
0.25,2.554
0.28,2.554
0.3,2.554
0.33,2.554
0.36,2.554
0.38,2.554
0.24,2.554
0.44,2.555
0.47,2.555
0.5,2.555
0.54,2.555
0.56,2.555
0.57,2.555
0.58,2.555
0.63,2.555
0.62,2.555
0.64,2.555
0.66,2.555
0.73,2.555
0.72,2.555
0.4,2.555
0.6,2.555
0.39,2.555
0.67,2.555
0.35,2.555
0.04,2.555
0.05,2.555
0.08,2.555
0.14,2.555
0.15,2.555
0.17,2.555
0.2,2.555
0.38,2.555
0.25,2.555
0.26,2.555
0.27,2.555
0.29,2.555
0.3,2.555
0.33,2.555
0.22,2.555
0.44,2.556
0.45,2.556
0.47,2.556
0.5,2.556
0.52,2.556
0.54,2.556
0.65,2.556
0.6,2.556
0.64,2.556
0.69,2.556
0.71,2.556
0.74,2.556
0.43,2.556
0.59,2.556
0.75,2.556
0.4,2.556
0.38,2.556
0.42,2.556
0.0,2.556
0.04,2.556
0.06,2.556
0.13,2.556
0.22,2.556
0.12,2.556
0.25,2.556
0.27,2.556
0.31,2.556
0.32,2.556
0.33,2.556
0.37,2.556
0.24,2.556
0.56,2.557
0.39,2.557
0.4,2.557
0.44,2.557
0.5,2.557
0.6,2.557
0.38,2.557
0.7,2.557
0.71,2.557
0.72,2.557
0.73,2.557
0.75,2.557
0.79,2.557
0.67,2.557
0.33,2.557
0.0,2.557
0.31,2.557
0.03,2.557
0.1,2.557
0.11,2.557
0.12,2.557
0.15,2.557
0.17,2.557
0.32,2.557
0.2,2.557
